FIPS,PROPERTYID,APN,SITUSFULLSTREETADDRESS,SITUSHOUSENBR,SITUSHOUSENBRSUFFIX,SITUSDIRECTIONLEFT,SITUSSTREET,SITUSMODE,SITUSDIRECTIONRIGHT,SITUSUNITTYPE,SITUSUNITNBR,SITUSCITY,SITUSSTATE,SITUSZIP5,SITUSLATITUDE,SITUSLONGITUDE,LANDUSECODE,LOTSIZESQFT,YEARBUILT,EFFECTIVEYEARBUILT,BEDROOMS,FIREPLACECODE,BATHTOTALCALC,BATHSPARTIALNBR,SUMBUILDINGSQFT,TOTALROOMS,BASEMENTFINISHEDSQFT,BASEMENTUNFINISHEDSQFT
53033,144046260,233130-0111,6708 DAYTON AVE N,6708,,,DAYTON,AVE,N,,,SEATTLE,WA,98103,47.678191,-122.352408,1001,2400,1916,1916,3,1,2.00,0,1530,0,750,0
53033,144046269,233130-0165,536 N 67TH ST,536,,N,67TH,ST,,,,SEATTLE,WA,98103,47.675775,-122.347757,1999,4960,1923,1923,6,1,4.50,3,3620,0,260,0
53033,144046286,233130-0275,519 N 67TH ST,519,,N,67TH,ST,,,,SEATTLE,WA,98103,47.677553,-122.351761,1001,4960,1912,1912,2,1,1.00,0,1340,0,360,0
53033,144046259,233130-0110,6704 DAYTON AVE N,6704,,,DAYTON,AVE,N,,,SEATTLE,WA,98103,47.678076,-122.352408,1001,2640,1916,1916,1,1,1.00,0,750,0,0,500
53033,144046251,233130-0050,529 N 68TH ST,529,,N,68TH,ST,,,,SEATTLE,WA,98103,47.67845,-122.351265,1001,4356,1917,1917,3,1,1.00,0,1400,0,400,0
53033,144046250,233130-0040,533 N 68TH ST,533,,N,68TH,ST,,,,SEATTLE,WA,98103,47.67845,-122.35112,1001,4356,1917,1917,3,1,2.00,0,1520,0,520,0
53033,144046266,233130-0145,524 N 67TH ST,524,,N,67TH,ST,,,,SEATTLE,WA,98103,47.678072,-122.351517,1001,4960,1925,1925,4,1,2.00,0,2020,0,1010,0
53033,144046271,233130-0180,544 N 67TH ST,544,,N,67TH,ST,,,,SEATTLE,WA,98103,47.678068,-122.350768,1001,3720,1925,1925,3,1,1.50,1,1340,0,640,0
53033,144046262,233130-0120,508 N 67TH ST,508,,N,67TH,ST,,,,SEATTLE,WA,98103,47.678076,-122.352226,1001,3720,1923,1923,2,1,1.00,0,930,0,0,550
53033,144046268,233130-0160,532 N 67TH ST,532,,N,67TH,ST,,,,SEATTLE,WA,98103,47.67807,-122.351193,1001,4960,1923,1923,3,1,2.50,1,1880,0,140,0
53033,144046267,233130-0155,528 N 67TH ST,528,,N,67TH,ST,,,,SEATTLE,WA,98103,47.678071,-122.351355,1001,4960,1923,1923,2,1,1.00,0,1440,0,450,0
